electricity_pricing,electricity_pricing_predicted_1,electricity_pricing_predicted_2,electricity_pricing_predicted_3
0.1130999999999999,0.1639499999999999,0.142,0.1341
0.10958,0.17081,0.13,0.128
0.10359,0.175,0.13,0.126
0.1104599999999999,0.17,0.14,0.1291
0.1130999999999999,0.16344,0.15264,0.1391
0.12028,0.1575,0.15335,0.15315
0.1639499999999999,0.142,0.16293,0.1665
0.17081,0.13,0.15246,0.17036
0.175,0.13,0.13783,0.16801
0.17,0.14,0.13505,0.15264
0.16344,0.15264,0.14328,0.16247
0.1575,0.15335,0.14395,0.1555099999999999
0.142,0.16293,0.1341,0.13557
0.13,0.15246,0.128,0.13
0.13,0.13783,0.126,0.129
0.14,0.13505,0.1291,0.13101
0.15264,0.14328,0.1391,0.14359
0.15335,0.14395,0.15315,0.15274
0.16293,0.1341,0.1665,0.1528499999999999
0.15246,0.128,0.17036,0.14549
0.13783,0.126,0.16801,0.14
0.13505,0.1291,0.15264,0.13
0.14328,0.1391,0.16247,0.1391
0.14395,0.15315,0.1555099999999999,0.14488
0.1341,0.1665,0.13557,0.12525
0.128,0.17036,0.13,0.12417
0.126,0.16801,0.129,0.12525
0.1291,0.15264,0.13101,0.13474
0.1391,0.16247,0.14359,0.15246
0.15315,0.1555099999999999,0.15274,0.15246
0.1665,0.13557,0.1528499999999999,0.16424
0.17036,0.13,0.14549,0.17017
0.16801,0.129,0.14,0.16959
0.15264,0.13101,0.13,0.16232
0.16247,0.14359,0.1391,0.1558
0.1555099999999999,0.15274,0.14488,0.15011
0.13557,0.1528499999999999,0.12525,0.1425
0.13,0.14549,0.12417,0.1301
0.129,0.14,0.12525,0.1418
0.13101,0.13,0.13474,0.14452
0.14359,0.1391,0.15246,0.14253
0.15274,0.14488,0.15246,0.1498499999999999
0.1528499999999999,0.12525,0.16424,0.15246
0.14549,0.12417,0.17017,0.15315
0.14,0.12525,0.16959,0.14908
0.13,0.13474,0.16232,0.13399
0.1391,0.15246,0.1558,0.1240999999999999
0.14488,0.15246,0.15011,0.1240999999999999
0.12525,0.16424,0.1425,0.1240999999999999
0.12417,0.17017,0.1301,0.122
0.12525,0.16959,0.1418,0.1240999999999999
0.13474,0.16232,0.14452,0.13601
0.15246,0.1558,0.14253,0.14908
0.15246,0.15011,0.1498499999999999,0.15315
0.16424,0.1425,0.15246,0.1665
0.17017,0.1301,0.15315,0.17168
0.16959,0.1418,0.14908,0.17001
0.16232,0.14452,0.13399,0.1639499999999999
0.1558,0.14253,0.1240999999999999,0.16428
0.15011,0.1498499999999999,0.1240999999999999,0.1575099999999999
0.1425,0.15246,0.1240999999999999,0.14994
0.1301,0.15315,0.122,0.14
0.1418,0.14908,0.1240999999999999,0.14
0.14452,0.13399,0.13601,0.14401
0.14253,0.1240999999999999,0.14908,0.15044
0.1498499999999999,0.1240999999999999,0.15315,0.16061
0.15246,0.1240999999999999,0.1665,0.16061
0.15315,0.122,0.17168,0.15781
0.14908,0.1240999999999999,0.17001,0.14996
0.13399,0.13601,0.1639499999999999,0.14
0.1240999999999999,0.14908,0.16428,0.13965
0.1240999999999999,0.15315,0.1575099999999999,0.14499
0.1240999999999999,0.1665,0.14994,0.1262
0.122,0.17168,0.14,0.1235
0.1240999999999999,0.17001,0.14,0.1235
0.13601,0.1639499999999999,0.14401,0.13699
0.14908,0.16428,0.15044,0.14994
0.15315,0.1575099999999999,0.16061,0.15822
0.1665,0.14994,0.16061,0.17
0.17168,0.14,0.15781,0.17605
0.17001,0.14,0.14996,0.1731
0.1639499999999999,0.14401,0.14,0.1671399999999999
0.16428,0.15044,0.13965,0.17607
0.1575099999999999,0.16061,0.14499,0.1623
0.14994,0.16061,0.1262,0.15369
0.14,0.15781,0.1235,0.15027
0.14,0.14996,0.1235,0.15027
0.14401,0.14,0.13699,0.15319
0.15044,0.13965,0.14994,0.16426
0.16061,0.14499,0.15822,0.17607
0.16061,0.1262,0.17,0.17607
0.15781,0.1235,0.17605,0.16843
0.14996,0.1235,0.1731,0.16128
0.14,0.13699,0.1671399999999999,0.1480999999999999
0.13965,0.14994,0.17607,0.1510099999999999
0.14499,0.15822,0.1623,0.1571
0.1262,0.17,0.15369,0.14303
0.1235,0.17605,0.15027,0.1276
0.1235,0.1731,0.15027,0.12469
0.13699,0.1671399999999999,0.15319,0.12918
0.14994,0.17607,0.16426,0.14481
0.15822,0.1623,0.17607,0.16434
0.17,0.15369,0.17607,0.1767
0.17605,0.15027,0.16843,0.18278
0.1731,0.15027,0.16128,0.18
0.1671399999999999,0.15319,0.1480999999999999,0.1767
0.17607,0.16426,0.1510099999999999,0.17485
0.1623,0.17607,0.1571,0.16844
0.15369,0.17607,0.14303,0.16448
0.15027,0.16843,0.1276,0.15953
0.15027,0.16128,0.12469,0.15953
0.15319,0.1480999999999999,0.12918,0.1582599999999999
0.16426,0.1510099999999999,0.14481,0.15953
0.17607,0.1571,0.16434,0.1580399999999999
0.17607,0.14303,0.1767,0.1582599999999999
0.16843,0.1276,0.18278,0.1625
0.16128,0.12469,0.18,0.15999
0.1480999999999999,0.12918,0.1767,0.12824
0.1510099999999999,0.14481,0.17485,0.14772
0.1571,0.16434,0.16844,0.1361
0.14303,0.1767,0.16448,0.11912
0.1276,0.18278,0.15953,0.11912
0.12469,0.18,0.15953,0.11825
0.12918,0.1767,0.1582599999999999,0.11825
0.14481,0.17485,0.15953,0.12
0.16434,0.16844,0.1580399999999999,0.15593
0.1767,0.16448,0.1582599999999999,0.17
0.18278,0.15953,0.1625,0.1793199999999999
0.18,0.15953,0.15999,0.1805999999999999
0.1767,0.1582599999999999,0.12824,0.17971
0.17485,0.15953,0.14772,0.19094
0.16844,0.1580399999999999,0.1361,0.18932
0.16448,0.1582599999999999,0.11912,0.18605
0.15953,0.1625,0.11912,0.18512
0.15953,0.15999,0.11825,0.18361
0.1582599999999999,0.12824,0.11825,0.1828499999999999
0.15953,0.14772,0.12,0.18123
0.1580399999999999,0.1361,0.15593,0.16966
0.1582599999999999,0.11912,0.17,0.161
0.1625,0.11912,0.1793199999999999,0.125
0.15999,0.11825,0.1805999999999999,0.1148
0.12824,0.11825,0.17971,0.1122
0.14772,0.12,0.19094,0.1112
0.1361,0.15593,0.18932,0.1112
0.11912,0.17,0.18605,0.10976
0.11912,0.1793199999999999,0.18512,0.10301
0.11825,0.1805999999999999,0.18361,0.09115
0.11825,0.17971,0.1828499999999999,0.0904
0.12,0.19094,0.18123,0.09668
0.15593,0.18932,0.16966,0.1152
0.17,0.18605,0.161,0.1830999999999999
0.1793199999999999,0.18512,0.125,0.1974
0.1805999999999999,0.18361,0.1148,0.20001
0.17971,0.1828499999999999,0.1122,0.18947
0.19094,0.18123,0.1112,0.17779
0.18932,0.16966,0.1112,0.1705
0.18605,0.161,0.10976,0.161
0.18512,0.125,0.10301,0.13707
0.18361,0.1148,0.09115,0.1251
0.1828499999999999,0.1122,0.0904,0.1254
0.18123,0.1112,0.09668,0.1571
0.16966,0.1112,0.1152,0.15828
0.161,0.10976,0.1830999999999999,0.1571
0.125,0.10301,0.1974,0.147
0.1148,0.09115,0.20001,0.12
0.1122,0.0904,0.18947,0.16873
0.1112,0.09668,0.17779,0.16873
0.1112,0.1152,0.1705,0.16801
0.10976,0.1830999999999999,0.161,0.161
0.10301,0.1974,0.13707,0.119
0.09115,0.20001,0.1251,0.115
0.0904,0.18947,0.1254,0.1130999999999999
0.09668,0.17779,0.1571,0.12
0.1152,0.1705,0.15828,0.16721
0.1830999999999999,0.161,0.1571,0.17983
0.1974,0.13707,0.147,0.19425
0.20001,0.1251,0.12,0.195
0.18947,0.1254,0.16873,0.18469
0.17779,0.1571,0.16873,0.1765
0.1705,0.15828,0.16801,0.1653899999999999
0.161,0.1571,0.161,0.1596399999999999
0.13707,0.147,0.119,0.1596399999999999
0.1251,0.12,0.115,0.14499
0.1254,0.16873,0.1130999999999999,0.14301
0.1571,0.16873,0.12,0.15697
0.15828,0.16801,0.16721,0.16836
0.1571,0.161,0.17983,0.17
0.147,0.119,0.19425,0.14918
0.12,0.115,0.195,0.11888
0.16873,0.1130999999999999,0.18469,0.13783
0.16873,0.12,0.1765,0.1251
0.16801,0.16721,0.1653899999999999,0.1211
0.161,0.17983,0.1596399999999999,0.1135
0.119,0.19425,0.1596399999999999,0.10665
0.115,0.195,0.14499,0.105
0.1130999999999999,0.18469,0.14301,0.10665
0.12,0.1765,0.15697,0.10665
0.16721,0.1653899999999999,0.16836,0.1128
0.17983,0.1596399999999999,0.17,0.16103
0.19425,0.1596399999999999,0.14918,0.18003
0.195,0.14499,0.11888,0.18001
0.18469,0.14301,0.13783,0.168
0.1765,0.15697,0.1251,0.17051
0.1653899999999999,0.16836,0.1211,0.16554
0.1596399999999999,0.17,0.1135,0.15866
0.1596399999999999,0.14918,0.10665,0.1560099999999999
0.14499,0.11888,0.105,0.1549
0.14301,0.13783,0.10665,0.16101
0.15697,0.1251,0.10665,0.16786
0.16836,0.1211,0.1128,0.17201
0.17,0.1135,0.16103,0.16199
0.14918,0.10665,0.18003,0.15
0.11888,0.105,0.18001,0.1206
0.13783,0.10665,0.168,0.10698
0.1251,0.10665,0.17051,0.11136
0.1211,0.1128,0.16554,0.125
0.1135,0.16103,0.15866,0.1235999999999999
0.10665,0.18003,0.1560099999999999,0.10698
0.105,0.18001,0.1549,0.10414
0.10665,0.168,0.16101,0.1022
0.10665,0.17051,0.16786,0.09967
0.1128,0.16554,0.17201,0.109
0.16103,0.15866,0.16199,0.14989
0.18003,0.1560099999999999,0.15,0.168
0.18001,0.1549,0.1206,0.16
0.168,0.16101,0.10698,0.13721
0.17051,0.16786,0.11136,0.14904
0.16554,0.17201,0.125,0.15
0.15866,0.16199,0.1235999999999999,0.14904
0.1560099999999999,0.15,0.10698,0.125
0.1549,0.1206,0.10414,0.125
0.16101,0.10698,0.1022,0.13599
0.16786,0.11136,0.09967,0.16025
0.17201,0.125,0.109,0.165
0.16199,0.1235999999999999,0.14989,0.16451
0.15,0.10698,0.168,0.14
0.1206,0.10414,0.16,0.105
0.10698,0.1022,0.13721,0.1
0.11136,0.09967,0.14904,0.105
0.125,0.109,0.15,0.10698
0.1235999999999999,0.14989,0.14904,0.105
0.10698,0.168,0.125,0.099
0.10414,0.16,0.125,0.0986
0.1022,0.13721,0.13599,0.1
0.09967,0.14904,0.16025,0.105
0.109,0.15,0.165,0.13783
0.14989,0.14904,0.16451,0.17071
0.168,0.125,0.14,0.18933
0.16,0.125,0.105,0.17783
0.13721,0.13599,0.1,0.16806
0.14904,0.16025,0.105,0.13599
0.15,0.165,0.10698,0.11551
0.14904,0.16451,0.105,0.11
0.125,0.14,0.099,0.09
0.125,0.105,0.0986,0.09162
0.13599,0.1,0.1,0.09292
0.16025,0.105,0.105,0.147
0.165,0.10698,0.13783,0.15066
0.16451,0.105,0.17071,0.15
0.14,0.099,0.18933,0.1161
0.105,0.0986,0.17783,0.09
0.1,0.1,0.16806,0.09
0.105,0.105,0.13599,0.10684
0.10698,0.13783,0.11551,0.12
0.105,0.17071,0.11,0.11799
0.099,0.18933,0.09,0.13
0.0986,0.17783,0.09162,0.13707
0.1,0.16806,0.09292,0.13932
0.105,0.13599,0.147,0.15
0.13783,0.11551,0.15066,0.1676
0.17071,0.11,0.15,0.19732
0.18933,0.09,0.1161,0.23018
0.17783,0.09162,0.09,0.2
0.16806,0.09292,0.09,0.17228
0.13599,0.147,0.10684,0.17918
0.11551,0.15066,0.12,0.1782
0.11,0.15,0.11799,0.1776
0.09,0.1161,0.13,0.17657
0.09162,0.09,0.13707,0.17729
0.09292,0.09,0.13932,0.17729
0.147,0.10684,0.15,0.1782
0.15066,0.12,0.1676,0.175
0.15,0.11799,0.19732,0.17108
0.1161,0.13,0.23018,0.17
0.09,0.13707,0.2,0.1595099999999999
0.09,0.13932,0.17228,0.15
0.10684,0.15,0.17918,0.15541
0.12,0.1676,0.1782,0.1599199999999999
0.11799,0.19732,0.1776,0.15166
0.13,0.23018,0.17657,0.1334
0.13707,0.2,0.17729,0.12
0.13932,0.17228,0.17729,0.12187
0.15,0.17918,0.1782,0.1504
0.1676,0.1782,0.175,0.16966
0.19732,0.1776,0.17108,0.18649
0.23018,0.17657,0.17,0.23
0.2,0.17729,0.1595099999999999,0.2230099999999999
0.17228,0.17729,0.15,0.187
0.17918,0.1782,0.15541,0.20541
0.1782,0.175,0.1599199999999999,0.19327
0.1776,0.17108,0.15166,0.18931
0.17657,0.17,0.1334,0.185
0.17729,0.1595099999999999,0.12,0.18194
0.17729,0.15,0.12187,0.18006
0.1782,0.15541,0.1504,0.18166
0.175,0.1599199999999999,0.16966,0.18143
0.17108,0.15166,0.18649,0.17551
0.17,0.1334,0.23,0.17506
0.1595099999999999,0.12,0.2230099999999999,0.13498
0.15,0.12187,0.187,0.105
0.15541,0.1504,0.20541,0.107
0.1599199999999999,0.16966,0.19327,0.105
0.15166,0.18649,0.18931,0.09292
0.1334,0.23,0.185,0.0780999999999999
0.12,0.2230099999999999,0.18194,0.07103
0.12187,0.187,0.18006,0.02509
0.1504,0.20541,0.18166,0.07103
0.16966,0.19327,0.18143,0.1182
0.18649,0.18931,0.17551,0.172
0.23,0.185,0.17506,0.18266
0.2230099999999999,0.18194,0.13498,0.18268
0.187,0.18006,0.105,0.17702
0.20541,0.18166,0.107,0.2079
0.19327,0.18143,0.105,0.185
0.18931,0.17551,0.09292,0.17161
0.185,0.17506,0.0780999999999999,0.15
0.18194,0.13498,0.07103,0.14571
0.18006,0.105,0.02509,0.1533
0.18166,0.107,0.07103,0.183
0.18143,0.105,0.1182,0.20541
0.17551,0.09292,0.172,0.205
0.17506,0.0780999999999999,0.18266,0.18584
0.13498,0.07103,0.18268,0.14999
0.105,0.02509,0.17702,0.125
0.107,0.07103,0.2079,0.13209
0.105,0.1182,0.185,0.16
0.09292,0.172,0.17161,0.15906
0.0780999999999999,0.18266,0.15,0.1409
0.07103,0.18268,0.14571,0.14
0.02509,0.17702,0.1533,0.13783
0.07103,0.2079,0.183,0.175
0.1182,0.185,0.20541,0.2079
0.172,0.17161,0.205,0.2235
0.18266,0.15,0.18584,0.25
0.18268,0.14571,0.14999,0.22999
0.17702,0.1533,0.125,0.2096599999999999
0.2079,0.183,0.13209,0.1926699999999999
0.185,0.20541,0.16,0.17474
0.17161,0.205,0.15906,0.15
0.15,0.18584,0.1409,0.1485999999999999
0.14571,0.14999,0.14,0.15
0.1533,0.125,0.13783,0.155
0.183,0.13209,0.175,0.18044
0.20541,0.16,0.2079,0.18484
0.205,0.15906,0.2235,0.1828
0.18584,0.1409,0.25,0.1576999999999999
0.14999,0.14,0.22999,0.159
0.125,0.13783,0.2096599999999999,0.16275
0.13209,0.175,0.1926699999999999,0.16984
0.16,0.2079,0.17474,0.18484
0.15906,0.2235,0.15,0.1850399999999999
0.1409,0.25,0.1485999999999999,0.18019
0.14,0.22999,0.15,0.17007
0.13783,0.2096599999999999,0.155,0.17
0.175,0.1926699999999999,0.18044,0.18274
0.2079,0.17474,0.18484,0.2064
0.2235,0.15,0.1828,0.23551
0.25,0.1485999999999999,0.1576999999999999,0.25
0.22999,0.15,0.159,0.23918
0.2096599999999999,0.155,0.16275,0.21797
0.1926699999999999,0.18044,0.16984,0.21558
0.17474,0.18484,0.18484,0.20956
0.15,0.1828,0.1850399999999999,0.21006
0.1485999999999999,0.1576999999999999,0.18019,0.20823
0.15,0.159,0.17007,0.20801
0.155,0.16275,0.17,0.2
0.18044,0.16984,0.18274,0.18391
0.18484,0.18484,0.2064,0.20774
0.1828,0.1850399999999999,0.23551,0.20814
0.1576999999999999,0.18019,0.25,0.20099
0.159,0.17007,0.23918,0.15117
0.16275,0.17,0.21797,0.1475999999999999
0.16984,0.18274,0.21558,0.1485
0.18484,0.2064,0.20956,0.1606
0.1850399999999999,0.23551,0.21006,0.15
0.18019,0.25,0.20823,0.14035
0.17007,0.23918,0.20801,0.14007
0.17,0.21797,0.2,0.14398
0.18274,0.21558,0.18391,0.148
0.2064,0.20956,0.20774,0.20486
0.23551,0.21006,0.20814,0.22078
0.25,0.20823,0.20099,0.23679
0.23918,0.20801,0.15117,0.22324
0.21797,0.2,0.1475999999999999,0.21869
0.21558,0.18391,0.1485,0.20127
0.20956,0.20774,0.1606,0.155
0.21006,0.20814,0.15,0.152
0.20823,0.20099,0.14035,0.151
0.20801,0.15117,0.14007,0.1480999999999999
0.2,0.1475999999999999,0.14398,0.14398
0.18391,0.1485,0.148,0.152
0.20774,0.1606,0.20486,0.18033
0.20814,0.15,0.22078,0.18083
0.20099,0.14035,0.23679,0.1912299999999999
0.15117,0.14007,0.22324,0.154
0.1475999999999999,0.14398,0.21869,0.14035
0.1485,0.148,0.20127,0.14035
0.1606,0.20486,0.155,0.15
0.15,0.22078,0.152,0.1431
0.14035,0.23679,0.151,0.14035
0.14007,0.22324,0.1480999999999999,0.1331
0.14398,0.21869,0.14398,0.1331
0.148,0.20127,0.152,0.14599
0.20486,0.155,0.18033,0.15536
0.22078,0.152,0.18083,0.20312
0.23679,0.151,0.1912299999999999,0.20926
0.22324,0.1480999999999999,0.154,0.20127
0.21869,0.14398,0.14035,0.18
0.20127,0.152,0.14035,0.2003899999999999
0.155,0.18033,0.15,0.14878
0.152,0.18083,0.1431,0.1351
0.151,0.1912299999999999,0.14035,0.125
0.1480999999999999,0.154,0.1331,0.12562
0.14398,0.14035,0.1331,0.12562
0.152,0.14035,0.14599,0.1356699999999999
0.18033,0.15,0.15536,0.185
0.18083,0.1431,0.20312,0.166
0.1912299999999999,0.14035,0.20926,0.13773
0.154,0.1331,0.20127,0.13
0.14035,0.1331,0.18,0.13
0.14035,0.14599,0.2003899999999999,0.14295
0.15,0.15536,0.14878,0.19999
0.1431,0.20312,0.1351,0.192
0.14035,0.20926,0.125,0.19366
0.1331,0.20127,0.12562,0.19999
0.1331,0.18,0.12562,0.2
0.14599,0.2003899999999999,0.1356699999999999,0.20312
0.15536,0.14878,0.185,0.21469
0.20312,0.1351,0.166,0.22401
0.20926,0.125,0.13773,0.24386
0.20127,0.12562,0.13,0.23365
0.18,0.12562,0.13,0.215
0.2003899999999999,0.1356699999999999,0.14295,0.18531
0.14878,0.185,0.19999,0.17
0.1351,0.166,0.192,0.14886
0.125,0.13773,0.19366,0.14292
0.12562,0.13,0.19999,0.1500999999999999
0.12562,0.13,0.2,0.1601
0.1356699999999999,0.14295,0.20312,0.16926
0.185,0.19999,0.21469,0.16007
0.166,0.192,0.22401,0.1500999999999999
0.13773,0.19366,0.24386,0.14
0.13,0.19999,0.23365,0.13
0.13,0.2,0.215,0.127
0.14295,0.20312,0.18531,0.128
0.19999,0.21469,0.17,0.129
0.192,0.22401,0.14886,0.129
0.19366,0.24386,0.14292,0.128
0.19999,0.23365,0.1500999999999999,0.128
0.2,0.215,0.1601,0.1291699999999999
0.20312,0.18531,0.16926,0.137
0.21469,0.17,0.16007,0.17999
0.22401,0.14886,0.1500999999999999,0.22
0.24386,0.14292,0.14,0.2428199999999999
0.23365,0.1500999999999999,0.13,0.23918
0.215,0.1601,0.127,0.21705
0.18531,0.16926,0.128,0.22
0.17,0.16007,0.129,0.21
0.14886,0.1500999999999999,0.129,0.18525
0.14292,0.14,0.128,0.17731
0.1500999999999999,0.13,0.128,0.1663899999999999
0.1601,0.127,0.1291699999999999,0.16629
0.16926,0.128,0.137,0.17334
0.16007,0.129,0.17999,0.1818199999999999
0.1500999999999999,0.129,0.22,0.1803
0.14,0.128,0.2428199999999999,0.1803
0.13,0.128,0.23918,0.1803
0.127,0.1291699999999999,0.21705,0.1803
0.128,0.137,0.22,0.13099
0.129,0.17999,0.21,0.13
0.129,0.22,0.18525,0.12606
0.128,0.2428199999999999,0.17731,0.09962
0.128,0.23918,0.1663899999999999,0.11606
0.1291699999999999,0.21705,0.16629,0.12048
0.137,0.22,0.17334,0.127
0.17999,0.21,0.1818199999999999,0.13
0.22,0.18525,0.1803,0.21087
0.2428199999999999,0.17731,0.1803,0.225
0.23918,0.1663899999999999,0.1803,0.225
0.21705,0.16629,0.1803,0.2201999999999999
0.22,0.17334,0.13099,0.21549
0.21,0.1818199999999999,0.13,0.20144
0.18525,0.1803,0.12606,0.18
0.17731,0.1803,0.09962,0.16
0.1663899999999999,0.1803,0.11606,0.17392
0.16629,0.1803,0.12048,0.17933
0.17334,0.13099,0.127,0.20025
0.1818199999999999,0.13,0.13,0.20473
0.1803,0.12606,0.21087,0.21688
0.1803,0.09962,0.225,0.21071
0.1803,0.11606,0.225,0.19
0.1803,0.12048,0.2201999999999999,0.16957
0.13099,0.127,0.21549,0.16091
0.13,0.13,0.20144,0.145
0.12606,0.21087,0.18,0.13999
0.09962,0.225,0.16,0.1329
0.11606,0.225,0.17392,0.13694
0.12048,0.2201999999999999,0.17933,0.14386
0.127,0.21549,0.20025,0.18031
0.13,0.20144,0.20473,0.21386
0.21087,0.18,0.21688,0.23901
0.225,0.16,0.21071,0.25307
0.225,0.17392,0.19,0.2474799999999999
0.2201999999999999,0.17933,0.16957,0.22646
0.21549,0.20025,0.16091,0.22749
0.20144,0.20473,0.145,0.22
0.18,0.21688,0.13999,0.21502
0.16,0.21071,0.1329,0.21165
