scenario,building,timestep,net_kw,nsl_kw,c3_violated
ZERO (do nothing),0,86,0.0,0.57338333,0
ZERO (do nothing),0,87,0.0,0.72395,0
ZERO (do nothing),0,88,0.0,1.8375334,0
ZERO (do nothing),0,89,0.0,4.254133,0
ZERO (do nothing),0,90,0.0,4.2929335,0
ZERO (do nothing),0,91,0.0,4.10335,0
ZERO (do nothing),0,92,0.0,2.7808,0
ZERO (do nothing),0,93,0.0,2.1478834,0
ZERO (do nothing),0,94,0.0,1.9812167,0
ZERO (do nothing),0,95,0.0,1.1093833,0
ZERO (do nothing),0,96,0.0,1.0117667,0
ZERO (do nothing),0,97,0.0,2.1897666,0
ZERO (do nothing),0,98,0.0,2.1816332,0
ZERO (do nothing),0,99,0.0,1.71535,0
ZERO (do nothing),0,100,0.0,0.99343336,0
ZERO (do nothing),0,101,0.0,1.92805,0
ZERO (do nothing),0,102,0.0,0.92415,0
ZERO (do nothing),0,103,0.0,0.7346333,0
ZERO (do nothing),0,104,0.0,0.84395,0
ZERO (do nothing),0,105,0.0,0.74285,0
ZERO (do nothing),0,106,0.0,0.68943334,0
ZERO (do nothing),0,107,0.0,0.70813334,0
ZERO (do nothing),0,108,0.0,0.637275,0
ZERO (do nothing),0,109,0.0,0.6551833,0
ZERO (do nothing),0,110,0.0,0.63085,0
ZERO (do nothing),0,111,0.0,0.65571666,0
ZERO (do nothing),0,112,0.0,1.0198667,0
ZERO (do nothing),0,113,0.0,2.7401333,0
ZERO (do nothing),0,114,0.0,2.0481834,0
ZERO (do nothing),0,115,0.0,3.0580332,0
ZERO (do nothing),0,116,0.0,3.6221,0
ZERO (do nothing),0,117,0.0,3.5694,0
ZERO (do nothing),0,118,0.0,2.3449333,0
ZERO (do nothing),0,119,0.0,2.2084167,0
ZERO (do nothing),0,120,0.0,1.1773,0
ZERO (do nothing),0,121,0.0,1.06665,0
ZERO (do nothing),0,122,0.0,1.0835333,0
ZERO (do nothing),0,123,0.0,0.87188333,0
ZERO (do nothing),0,124,0.0,1.3106667,0
ZERO (do nothing),0,125,0.0,1.55265,0
ZERO (do nothing),0,126,0.0,0.7872667,0
ZERO (do nothing),0,127,0.0,1.2208667,0
ZERO (do nothing),0,128,0.0,1.6696666,0
ZERO (do nothing),0,129,0.0,1.3210666,0
ZERO (do nothing),0,130,0.0,1.24385,0
ZERO (do nothing),0,131,0.0,1.1607167,0
ZERO (do nothing),0,132,0.0,1.5804334,0
ZERO (do nothing),0,133,0.0,1.9222667,0
ZERO (do nothing),0,134,0.0,1.2551,0
ZERO (do nothing),0,135,0.0,4.2199,0
ZERO (do nothing),0,136,0.0,3.8339167,0
ZERO (do nothing),0,137,0.0,3.3331292,0
ZERO (do nothing),0,138,0.0,2.2699833,0
ZERO (do nothing),0,139,0.0,1.91925,0
ZERO (do nothing),0,140,0.0,2.50405,0
ZERO (do nothing),0,141,0.0,3.0474334,0
ZERO (do nothing),0,142,0.0,2.1673334,0
ZERO (do nothing),0,143,0.0,1.8956333,0
ZERO (do nothing),0,144,0.0,1.0146834,0
ZERO (do nothing),0,145,0.0,1.0539334,0
ZERO (do nothing),0,146,0.0,1.1816666,0
ZERO (do nothing),0,147,0.0,1.14585,0
ZERO (do nothing),0,148,0.0,1.08825,0
ZERO (do nothing),0,149,0.0,1.0638666,0
ZERO (do nothing),0,150,0.0,0.8833,0
ZERO (do nothing),0,151,0.0,0.6892833,0
ZERO (do nothing),0,152,0.0,0.73805,0
ZERO (do nothing),0,153,0.0,1.1276667,0
ZERO (do nothing),0,154,0.0,0.8103,0
ZERO (do nothing),0,155,0.0,0.62091666,0
ZERO (do nothing),0,156,0.0,1.3179834,0
ZERO (do nothing),0,157,0.0,1.2006333,0
ZERO (do nothing),0,158,0.0,1.66305,0
ZERO (do nothing),0,159,0.0,3.4162834,0
ZERO (do nothing),0,160,0.0,3.3941166,0
ZERO (do nothing),0,161,0.0,3.7507834,0
ZERO (do nothing),0,162,0.0,3.72305,0
ZERO (do nothing),0,163,0.0,3.9582,0
ZERO (do nothing),0,164,0.0,2.04575,0
ZERO (do nothing),0,165,0.0,2.1481333,0
ZERO (do nothing),0,166,0.0,0.8846833,0
ZERO (do nothing),0,167,0.0,2.0152082,0
ZERO (do nothing),0,168,0.0,0.8682333,0
ZERO (do nothing),0,169,0.0,0.85838336,0
ZERO (do nothing),0,170,0.0,0.7517167,0
ZERO (do nothing),0,171,0.0,0.92651665,0
ZERO (do nothing),0,172,0.0,1.0573334,0
ZERO (do nothing),0,173,0.0,1.5097166,0
ZERO (do nothing),0,174,0.0,0.9834167,0
ZERO (do nothing),0,175,0.0,0.72221667,0
ZERO (do nothing),0,176,0.0,0.65195,0
ZERO (do nothing),0,177,0.0,0.7291167,0
ZERO (do nothing),0,178,0.0,1.1015,0
ZERO (do nothing),0,179,0.0,0.84611666,0
ZERO (do nothing),0,180,0.0,0.68235,0
ZERO (do nothing),0,181,0.0,0.6919,0
ZERO (do nothing),0,182,0.0,0.66686666,0
ZERO (do nothing),0,183,0.0,0.63456666,0
ZERO (do nothing),0,184,0.0,0.97805,0
ZERO (do nothing),0,185,0.0,3.4236834,0
ZERO (do nothing),0,186,0.0,3.4720833,0
ZERO (do nothing),0,187,0.0,3.9397833,0
ZERO (do nothing),0,188,0.0,3.6698666,0
ZERO (do nothing),0,189,0.0,1.8681333,0
ZERO (do nothing),0,190,0.0,1.1379833,0
ZERO (do nothing),0,191,0.0,1.4736167,0
ZERO (do nothing),0,192,0.0,1.7563334,0
ZERO (do nothing),0,193,0.0,2.64235,0
ZERO (do nothing),0,194,0.0,1.4677167,0
ZERO (do nothing),0,195,0.0,1.4675,0
ZERO (do nothing),0,196,0.0,1.1095,0
ZERO (do nothing),0,197,0.0,1.26415,0
ZERO (do nothing),0,198,0.0,1.0001333,0
ZERO (do nothing),0,199,0.0,0.6411167,0
ZERO (do nothing),0,200,0.0,0.6872333,0
ZERO (do nothing),0,201,0.0,0.6525,0
ZERO (do nothing),0,202,0.0,0.65816665,0
ZERO (do nothing),0,203,0.0,0.8329,0
ZERO (do nothing),0,204,0.0,0.60181665,0
ZERO (do nothing),0,205,0.0,0.67298335,0
ZERO (do nothing),0,206,0.0,1.0372,0
ZERO (do nothing),0,207,0.0,0.6695833,0
ZERO (do nothing),0,208,0.0,0.5535,0
ZERO (do nothing),0,209,0.0,1.80705,0
ZERO (do nothing),0,210,0.0,3.1312833,0
ZERO (do nothing),0,211,0.0,5.3630667,0
ZERO (do nothing),0,212,0.0,2.8055167,0
ZERO (do nothing),0,213,0.0,2.31805,0
ZERO (do nothing),0,214,0.0,1.72315,0
ZERO (do nothing),0,215,0.0,1.4898916,0
ZERO (do nothing),0,216,0.0,0.7539167,0
ZERO (do nothing),0,217,0.0,1.00465,0
ZERO (do nothing),0,218,0.0,1.60625,0
ZERO (do nothing),0,219,0.0,0.49796668,0
ZERO (do nothing),0,220,0.0,1.5451334,0
ZERO (do nothing),0,221,0.0,1.4066833,0
ZERO (do nothing),0,222,0.0,0.81495,0
ZERO (do nothing),0,223,0.0,1.20685,0
ZERO (do nothing),0,224,0.0,1.4433833,0
ZERO (do nothing),0,225,0.0,0.6598333,0
ZERO (do nothing),0,226,0.0,0.6379833,0
ZERO (do nothing),0,227,0.0,0.6612333,0
ZERO (do nothing),0,228,0.0,0.62981665,0
ZERO (do nothing),0,229,0.0,1.4416833,0
ZERO (do nothing),0,230,0.0,2.4830334,0
ZERO (do nothing),0,231,0.0,1.9101666,0
ZERO (do nothing),0,232,0.0,1.1611834,0
ZERO (do nothing),0,233,0.0,0.89573336,0
ZERO (do nothing),0,234,0.0,0.5837833,0
ZERO (do nothing),0,235,0.0,1.36415,0
ZERO (do nothing),0,236,0.0,2.8685668,0
ZERO (do nothing),0,237,0.0,2.16605,0
ZERO (do nothing),0,238,0.0,1.7671833,0
ZERO (do nothing),0,239,0.0,1.7916,0
ZERO (do nothing),0,240,0.0,0.79081666,0
ZERO (do nothing),0,241,0.0,0.8059,0
ZERO (do nothing),0,242,0.0,0.7650333,0
ZERO (do nothing),0,243,0.0,0.77856666,0
ZERO (do nothing),0,244,0.0,2.0142167,0
ZERO (do nothing),0,245,0.0,0.84745,0
ZERO (do nothing),0,246,0.0,0.7894167,0
ZERO (do nothing),0,247,0.0,1.0594,0
ZERO (do nothing),0,248,0.0,1.6692834,0
ZERO (do nothing),0,249,0.0,1.88965,0
ZERO (do nothing),0,250,0.0,2.1278167,0
ZERO (do nothing),0,251,0.0,2.3515666,0
ZERO (do nothing),0,252,0.0,0.91465,0
ZERO (do nothing),0,253,0.0,0.52695,0
ZERO (do nothing),0,254,0.0,0.64073336,0
ZERO (do nothing),0,255,0.0,0.51101667,0
ZERO (do nothing),0,256,0.0,0.58853334,0
ZERO (do nothing),0,257,0.0,0.9142,0
ZERO (do nothing),0,258,0.0,1.5422833,0
ZERO (do nothing),0,259,0.0,4.2024665,0
ZERO (do nothing),0,260,0.0,2.8106666,0
ZERO (do nothing),0,261,0.0,3.45985,0
ZERO (do nothing),0,262,0.0,2.80885,0
ZERO (do nothing),0,263,0.0,1.2736083,0
ZERO (do nothing),0,264,0.0,0.85471666,0
ZERO (do nothing),0,265,0.0,0.8027,0
ZERO (do nothing),0,266,0.0,0.96853334,0
ZERO (do nothing),0,267,0.0,0.8246667,0
ZERO (do nothing),0,268,0.0,0.8229833,0
ZERO (do nothing),0,269,0.0,0.84636664,0
ZERO (do nothing),0,270,0.0,0.8179,0
ZERO (do nothing),0,271,0.0,1.1235334,0
ZERO (do nothing),0,272,0.0,1.5054166,0
ZERO (do nothing),0,273,0.0,1.8146666,0
ZERO (do nothing),0,274,0.0,1.9106,0
ZERO (do nothing),0,275,0.0,2.9232666,0
ZERO (do nothing),0,276,0.0,2.19085,0
ZERO (do nothing),0,277,0.0,1.2992667,0
ZERO (do nothing),0,278,0.0,0.44381666,0
ZERO (do nothing),0,279,0.0,0.37885,0
ZERO (do nothing),0,280,0.0,0.42791668,0
ZERO (do nothing),0,281,0.0,1.1827667,0
ZERO (do nothing),0,282,0.0,0.7854,0
ZERO (do nothing),0,283,0.0,1.0546167,0
ZERO (do nothing),0,284,0.0,1.1194167,0
ZERO (do nothing),0,285,0.0,0.5542,0
ZERO (do nothing),0,286,0.0,0.57415,0
ZERO (do nothing),0,287,0.0,0.54234165,0
ZERO (do nothing),0,288,0.0,2.5549166,0
ZERO (do nothing),0,289,0.0,0.5391833,0
ZERO (do nothing),0,290,0.0,0.5669,0
ZERO (do nothing),0,291,0.0,0.479,0
ZERO (do nothing),0,292,0.0,0.71356666,0
ZERO (do nothing),0,293,0.0,1.05175,0
ZERO (do nothing),0,294,0.0,0.8077667,0
ZERO (do nothing),0,295,0.0,0.5459375,0
ZERO (do nothing),0,296,0.0,0.64795,0
ZERO (do nothing),0,297,0.0,0.74663335,0
ZERO (do nothing),0,298,0.0,0.80875,0
ZERO (do nothing),0,299,0.0,1.21745,0
ZERO (do nothing),0,300,0.0,1.6296834,0
ZERO (do nothing),0,301,0.0,2.0857,0
ZERO (do nothing),0,302,0.0,0.55605,0
ZERO (do nothing),0,303,0.0,0.55181664,0
ZERO (do nothing),0,304,0.0,0.5109,0
ZERO (do nothing),0,305,0.0,1.7861,0
ZERO (do nothing),0,306,0.0,0.7979,0
ZERO (do nothing),0,307,0.0,0.8645667,0
ZERO (do nothing),0,308,0.0,0.762,0
ZERO (do nothing),0,309,0.0,0.56586665,0
ZERO (do nothing),0,310,0.0,0.4205,0
ZERO (do nothing),0,311,0.0,0.43808332,0
ZERO (do nothing),0,312,0.0,2.5334833,0
ZERO (do nothing),0,313,0.0,1.2014667,0
ZERO (do nothing),0,314,0.0,0.51318336,0
ZERO (do nothing),0,315,0.0,0.5287333,0
ZERO (do nothing),0,316,0.0,0.51643336,0
ZERO (do nothing),0,317,0.0,1.2016,0
ZERO (do nothing),0,318,0.0,0.92403334,0
ZERO (do nothing),0,319,0.0,0.96033335,0
ZERO (do nothing),0,320,0.0,1.5598167,0
ZERO (do nothing),0,321,0.0,2.2239833,0
ZERO (do nothing),0,322,0.0,2.3276834,0
ZERO (do nothing),0,323,0.0,2.4122334,0
ZERO (do nothing),0,324,0.0,2.4837832,0
ZERO (do nothing),0,325,0.0,2.3777332,0
ZERO (do nothing),0,326,0.0,1.26975,0
ZERO (do nothing),0,327,0.0,2.67195,0
ZERO (do nothing),0,328,0.0,2.5474167,0
ZERO (do nothing),0,329,0.0,2.0896,0
ZERO (do nothing),0,330,0.0,2.7026,0
ZERO (do nothing),0,331,0.0,2.6042666,0
ZERO (do nothing),0,332,0.0,1.3785833,0
ZERO (do nothing),0,333,0.0,0.99981666,0
ZERO (do nothing),0,334,0.0,1.6214,0
ZERO (do nothing),0,335,0.0,1.6192833,0
ZERO (do nothing),0,336,0.0,0.84748334,0
ZERO (do nothing),0,337,0.0,0.87191665,0
ZERO (do nothing),0,338,0.0,0.84536666,0
ZERO (do nothing),0,339,0.0,0.85691667,0
ZERO (do nothing),0,340,0.0,1.3805,0
ZERO (do nothing),0,341,0.0,3.4149,0
ZERO (do nothing),0,342,0.0,3.3304667,0
ZERO (do nothing),0,343,0.0,2.6339166,0
ZERO (do nothing),0,344,0.0,2.4981833,0
ZERO (do nothing),0,345,0.0,2.62875,0
ZERO (do nothing),0,346,0.0,2.6977334,0
ZERO (do nothing),0,347,0.0,3.6739166,0
ZERO (do nothing),0,348,0.0,3.6992834,0
ZERO (do nothing),0,349,0.0,2.3760166,0
ZERO (do nothing),0,350,0.0,2.75265,0
ZERO (do nothing),0,351,0.0,2.8858666,0
ZERO (do nothing),0,352,0.0,5.381417,0
ZERO (do nothing),0,353,0.0,1.73735,0
ZERO (do nothing),0,354,0.0,2.062,0
ZERO (do nothing),0,355,0.0,3.7227166,0
ZERO (do nothing),0,356,0.0,3.5942667,0
ZERO (do nothing),0,357,0.0,3.7093832,0
ZERO (do nothing),0,358,0.0,0.99541664,0
ZERO (do nothing),0,359,0.0,2.4371417,0
ZERO (do nothing),0,360,0.0,0.86255,0
ZERO (do nothing),0,361,0.0,0.8589,0
ZERO (do nothing),0,362,0.0,0.86511666,0
ZERO (do nothing),0,363,0.0,0.81581664,0
ZERO (do nothing),0,364,0.0,0.98188335,0
ZERO (do nothing),0,365,0.0,1.2526667,0
ZERO (do nothing),0,366,0.0,1.1138,0
ZERO (do nothing),0,367,0.0,1.55635,0
ZERO (do nothing),0,368,0.0,1.99335,0
ZERO (do nothing),0,369,0.0,1.9558166,0
ZERO (do nothing),0,370,0.0,2.1299167,0
ZERO (do nothing),0,371,0.0,3.0743,0
ZERO (do nothing),0,372,0.0,3.8387833,0
ZERO (do nothing),0,373,0.0,2.9744666,0
ZERO (do nothing),0,374,0.0,2.7813334,0
ZERO (do nothing),0,375,0.0,2.28025,0
ZERO (do nothing),0,376,0.0,2.8699,0
ZERO (do nothing),0,377,0.0,3.6662,0
ZERO (do nothing),0,378,0.0,4.8318,0
ZERO (do nothing),0,379,0.0,3.2167833,0
ZERO (do nothing),0,380,0.0,2.20765,0
ZERO (do nothing),0,381,0.0,1.4187167,0
ZERO (do nothing),0,382,0.0,1.8270667,0
ZERO (do nothing),0,383,0.0,0.99263334,0
ZERO (do nothing),0,384,0.0,2.5251667,0
ZERO (do nothing),0,385,0.0,2.2115667,0
ZERO (do nothing),0,386,0.0,1.7396333,0
ZERO (do nothing),0,387,0.0,1.3696333,0
ZERO (do nothing),0,388,0.0,0.86795,0
ZERO (do nothing),0,389,0.0,0.6781,0
ZERO (do nothing),0,390,0.0,1.2652833,0
ZERO (do nothing),0,391,0.0,1.3456,0
ZERO (do nothing),0,392,0.0,2.0803332,0
ZERO (do nothing),0,393,0.0,2.7867832,0
ZERO (do nothing),0,394,0.0,2.7854166,0
ZERO (do nothing),0,395,0.0,0.11765,0
ZERO (do nothing),0,396,0.0,1.4776833,0
ZERO (do nothing),0,397,0.0,1.9451833,0
ZERO (do nothing),0,398,0.0,3.2122667,0
ZERO (do nothing),0,399,0.0,1.94765,0
ZERO (do nothing),0,400,0.0,2.9825,0
ZERO (do nothing),0,401,0.0,4.461633,0
ZERO (do nothing),0,402,0.0,4.432317,0
ZERO (do nothing),0,403,0.0,4.1556168,0
ZERO (do nothing),0,404,0.0,1.58125,0
ZERO (do nothing),0,405,0.0,2.4762,0
ZERO (do nothing),0,406,0.0,2.0476,0
ZERO (do nothing),0,407,0.0,1.2151667,0
ZERO (do nothing),0,408,0.0,0.86385,0
ZERO (do nothing),0,409,0.0,0.84548336,0
ZERO (do nothing),0,410,0.0,0.8534,0
ZERO (do nothing),0,411,0.0,1.0625833,0
ZERO (do nothing),0,412,0.0,0.92635,0
ZERO (do nothing),0,413,0.0,0.874,0
ZERO (do nothing),0,414,0.0,1.1201125,0
ZERO (do nothing),0,415,0.0,1.51415,0
ZERO (do nothing),0,416,0.0,2.2712166,0
ZERO (do nothing),0,417,0.0,2.8162668,0
ZERO (do nothing),0,418,0.0,2.4197,0
ZERO (do nothing),0,419,0.0,0.39506668,0
ZERO (do nothing),0,420,0.0,1.2325333,0
ZERO (do nothing),0,421,0.0,1.9889667,0
ZERO (do nothing),0,422,0.0,1.8743666,0
ZERO (do nothing),0,423,0.0,2.7546167,0
ZERO (do nothing),0,424,0.0,2.3438334,0
ZERO (do nothing),0,425,0.0,3.5362666,0
ZERO (do nothing),0,426,0.0,2.6925833,0
ZERO (do nothing),0,427,0.0,2.4034834,0
ZERO (do nothing),0,428,0.0,1.4235333,0
ZERO (do nothing),0,429,0.0,1.8732333,0
ZERO (do nothing),0,430,0.0,0.7824,0
ZERO (do nothing),0,431,0.0,1.8284833,0
ZERO (do nothing),0,432,0.0,0.9066667,0
ZERO (do nothing),0,433,0.0,3.29255,0
ZERO (do nothing),0,434,0.0,0.9957833,0
ZERO (do nothing),0,435,0.0,1.32045,0
ZERO (do nothing),0,436,0.0,1.3017334,0
ZERO (do nothing),0,437,0.0,0.6903333,0
ZERO (do nothing),0,438,0.0,0.77608335,0
ZERO (do nothing),0,439,0.0,1.40145,0
ZERO (do nothing),0,440,0.0,1.5767,0
ZERO (do nothing),0,441,0.0,2.1525333,0
ZERO (do nothing),0,442,0.0,3.1382833,0
ZERO (do nothing),0,443,0.0,1.5559,0
ZERO (do nothing),0,444,0.0,1.3172667,0
ZERO (do nothing),0,445,0.0,1.11665,0
ZERO (do nothing),0,446,0.0,0.63201666,0
ZERO (do nothing),0,447,0.0,0.7259333,0
ZERO (do nothing),0,448,0.0,0.6691833,0
ZERO (do nothing),0,449,0.0,2.2238166,0
ZERO (do nothing),0,450,0.0,0.5150667,0
ZERO (do nothing),0,451,0.0,0.4535,0
ZERO (do nothing),0,452,0.0,0.45838332,0
ZERO (do nothing),0,453,0.0,0.46308333,0
ZERO (do nothing),0,454,0.0,2.9977167,0
ZERO (do nothing),0,455,0.0,3.2705166,0
ZERO (do nothing),0,456,0.0,0.6859667,0
ZERO (do nothing),0,457,0.0,0.6241,0
ZERO (do nothing),0,458,0.0,0.61155,0
ZERO (do nothing),0,459,0.0,1.8055,0
ZERO (do nothing),0,460,0.0,1.81925,0
ZERO (do nothing),0,461,0.0,0.78185,0
ZERO (do nothing),0,462,0.0,1.1586833,0
ZERO (do nothing),0,463,0.0,1.2373667,0
ZERO (do nothing),0,464,0.0,1.9754333,0
ZERO (do nothing),0,465,0.0,2.6163666,0
ZERO (do nothing),0,466,0.0,3.03325,0
ZERO (do nothing),0,467,0.0,2.4201167,0
ZERO (do nothing),0,468,0.0,2.3031332,0
ZERO (do nothing),0,469,0.0,2.39555,0
ZERO (do nothing),0,470,0.0,2.3266666,0
ZERO (do nothing),0,471,0.0,2.8402166,0
ZERO (do nothing),0,472,0.0,0.9095333,0
ZERO (do nothing),0,473,0.0,0.65405,0
ZERO (do nothing),0,474,0.0,2.1996167,0
ZERO (do nothing),0,475,0.0,2.60215,0
ZERO (do nothing),0,476,0.0,2.15355,0
ZERO (do nothing),0,477,0.0,3.31695,0
ZERO (do nothing),0,478,0.0,1.5418333,0
ZERO (do nothing),0,479,0.0,2.00515,0
ZERO (do nothing),0,480,0.0,0.9519167,0
ZERO (do nothing),0,481,0.0,0.7995333,0
ZERO (do nothing),0,482,0.0,0.98323333,0
ZERO (do nothing),0,483,0.0,0.82121664,0
ZERO (do nothing),0,484,0.0,0.7693167,0
ZERO (do nothing),0,485,0.0,0.7634,0
ZERO (do nothing),0,486,0.0,0.6094,0
ZERO (do nothing),0,487,0.0,1.3876166,0
ZERO (do nothing),0,488,0.0,2.4023666,0
ZERO (do nothing),0,489,0.0,2.6190333,0
ZERO (do nothing),0,490,0.0,2.6247666,0
ZERO (do nothing),0,491,0.0,2.5670166,0
ZERO (do nothing),0,492,0.0,1.2261167,0
ZERO (do nothing),0,493,0.0,2.9299667,0
ZERO (do nothing),0,494,0.0,2.9970167,0
ZERO (do nothing),0,495,0.0,2.4473834,0
ZERO (do nothing),0,496,0.0,1.0066333,0
ZERO (do nothing),0,497,0.0,0.89701664,0
ZERO (do nothing),0,498,0.0,3.7014,0
ZERO (do nothing),0,499,0.0,4.0723834,0
ZERO (do nothing),0,500,0.0,3.8306,0
ZERO (do nothing),0,501,0.0,1.17795,0
ZERO (do nothing),0,502,0.0,1.6567833,0
ZERO (do nothing),0,503,0.0,1.3112,0
ZERO (do nothing),0,504,0.0,2.1171834,0
ZERO (do nothing),0,505,0.0,2.0427666,0
ZERO (do nothing),0,506,0.0,1.2069,0
ZERO (do nothing),0,507,0.0,1.0077,0
ZERO (do nothing),0,508,0.0,1.2844,0
ZERO (do nothing),0,509,0.0,0.7410167,0
ZERO (do nothing),0,510,0.0,0.61785,0
ZERO (do nothing),0,511,0.0,0.60905,0
ZERO (do nothing),0,512,0.0,0.7446333,0
ZERO (do nothing),0,513,0.0,2.7522666,0
ZERO (do nothing),0,514,0.0,3.1660333,0
ZERO (do nothing),0,515,0.0,2.3904333,0
ZERO (do nothing),0,516,0.0,0.6081333,0
ZERO (do nothing),0,517,0.0,0.61855,0
ZERO (do nothing),0,518,0.0,0.59125,0
ZERO (do nothing),0,519,0.0,0.6404833,0
ZERO (do nothing),0,520,0.0,1.3410667,0
ZERO (do nothing),0,521,0.0,3.7159166,0
ZERO (do nothing),0,522,0.0,2.7560167,0
ZERO (do nothing),0,523,0.0,0.9534,0
ZERO (do nothing),0,524,0.0,1.70245,0
ZERO (do nothing),0,525,0.0,0.8437333,0
ZERO (do nothing),0,526,0.0,1.1068333,0
ZERO (do nothing),0,527,0.0,3.4028666,0
ZERO (do nothing),0,528,0.0,0.92125,0
ZERO (do nothing),0,529,0.0,0.84561664,0
ZERO (do nothing),0,530,0.0,0.7959167,0
ZERO (do nothing),0,531,0.0,0.76741666,0
ZERO (do nothing),0,532,0.0,0.89021665,0
ZERO (do nothing),0,533,0.0,0.8754,0
ZERO (do nothing),0,534,0.0,0.65001667,0
ZERO (do nothing),0,535,0.0,0.6085333,0
ZERO (do nothing),0,536,0.0,0.63225,0
ZERO (do nothing),0,537,0.0,2.8185666,0
ZERO (do nothing),0,538,0.0,3.1466832,0
ZERO (do nothing),0,539,0.0,2.26595,0
ZERO (do nothing),0,540,0.0,0.63061666,0
ZERO (do nothing),0,541,0.0,1.60995,0
ZERO (do nothing),0,542,0.0,0.7051,0
